name female
Astaire,_Fred 0
Bacall,_Lauren 1
Bergman,_Ingrid_(I) 1
Bogart,_Humphrey 0
Brando,_Marlon 0
Cagney,_James 0
Colbert,_Claudette 1
Cooper,_Gary_(I) 0
Crawford,_Joan_(I) 1
Davis,_Bette 1
Dean,_James_(I) 0
Dietrich,_Marlene 1
Douglas,_Kirk_(I) 0
Fonda,_Henry 0
Fontaine,_Joan_(I) 1
Ford,_John_(I) 0
Gable,_Clark 0
Garbo,_Greta 1
Gardner,_Ava 1
Garland,_Judy 1
Gish,_Lillian 1
Grant,_Cary 0
Harlow,_Jean 1
Hawks,_Howard 0
Hayworth,_Rita 1
Hepburn,_Audrey 1
Hepburn,_Katharine 1
Heston,_Charlton 0
Hitchcock,_Alfred_(I) 0
Holden,_William_(I) 0
Keaton,_Buster 0
Kelly,_Gene_(I) 0
Kelly,_Grace_(I) 1
Lancaster,_Burt 0
Leigh,_Janet 1
Leigh,_Vivien 1
Loren,_Sophia 1
Marx,_Chico 0
Marx,_Groucho 0
Marx,_Harpo 0
Marx,_Zeppo 0
Monroe,_Marilyn 1
Olivier,_Laurence 0
Peck,_Gregory 0
Pickford,_Mary 1
Power,_Tyrone 0
Rogers,_Ginger 1
Stanwyck,_Barbara 1
Stewart,_James_(I) 0
Taylor,_Elizabeth_(I) 1
Temple,_Shirley 1
Tracy,_Spencer_(I) 0
Wayne,_John_(I) 0
Welles,_Orson 0
West,_Mae 1
